smiles,logP
COc1cc(C(c(n2)c3nc4c2nc(C)c(Br)c4)=O)c3cc1,5.36121
COc1cc(C(c(n2)c3nc4c2nc(C)c(c5ccc(OC)cc5OC)c4)=O)c3cc1,5.51124
COc1cc(C(c(n2)c3nc4c2ncc(Br)c4)=O)c3cc1,5.11116
COc1cc(C(c(n2)c3nc4c2ncc(Br)c4C)=O)c3cc1,5.6446
COc1cc(C(c(n2)c3nc4c2ncc(C5=CC(N(C)C)=CC=C5)c4)=O)c3cc1,-0.60665
COc1cc(C(c(n2)c3nc4c2ncc(c5ccc(NC(C)=O)cc5)c4C)=O)c3cc1,4.8111
COc1cc(C(c(n2)c3nc4c2ncc(c5ccc(NS(C)(=O)=O)cc5)c4C)=O)c3cc1,4.74442
COc1cc(C(c(n2)c3nc4c2ncc(c5ccc(OC)c(OC)c5)c4)=O)c3cc1,5.29453
COc1cc(c(n2)c(C3=O)nc4c2cc(Br)c(C)n4)c3cc1,5.37788
COc1cc(c(n2)c(C3=O)nc4c2cc(c5ccc(C(O)=O)cc5)c(C)n4)c3cc1,3.01074
COc1ccc(Nc2cc(F)c3ccc4nc5c(cccn5)n4c3c2)cc1,5.26119
COc1ccc2c(c1)-c1nc3c(C)c(Br)cnc3nc1C2=O,5.546858346581455
COc1ccc2c(c1)-c1nc3cc(Br)c(C)nc3nc1C2=O,5.258671075782773
COc1ccc2c(c1)-c1nc3cc(Br)cnc3nc1C2=O,5.01232543190638
COc1ccc2c(c1)-c1nc3cc(C(F)(F)F)cnc3nc1C2=O,5.29453
COc1ccc2c(c1)-c1nc3cc(Cl)cnc3nc1C2=O,4.875261049286524
COc1ccc2c(c1)C(=O)c1nc3nc(C)c(Br)cc3nc1-2,5.2384633465814545
COc1ccc2c(c1)C(=O)c1nc3ncc(Br)c(C)c3nc1-2,5.643766600426033
COc1ccc2c(c1)C(=O)c1nc3ncc(Br)cc3nc1-2,4.864755275041576
COc1ccc2c(c1)C(=O)c1nc3ncc(Cl)cc3nc1-2,4.96113
Cc(c([N+]([O-])=O)cc1cc2)cc1n3c2nc4c3cccn4,4.57772
Cc(n1)c(Br)cc2c1nc3c(c4c(C3=O)cccc4)n2,5.24452
Cc1c(Br)cnc2nc3c(nc12)-c1cc(Br)ccc1C3=O,6.119450581878655
Cc1c(Br)cnc2nc3c(nc12)-c1ccccc1C3=O,5.340168818232217
Cc1cc(C(c(n2)c3nc4c2nc(C)c(Br)c4)=O)c3cc1,5.54458
Cc1cc(C(c(n2)c3nc4c2nc(C)c(c5cc(OCCO6)c6cc5)c4)=O)c3cc1,5.86131
Cc1cc(C(c(n2)c3nc4c2nc(C)c(c5ccc(C(O)=O)cc5)c4)=O)c3cc1,4.79443
Cc1cc(c(n2)c(C3=O)nc4c2cc(Br)c(C)n4)c3cc1,5.61126
Cc1cc(c(n2)c(C3=O)nc4c2cc(c5ccc(NS(C)(=O)=O)cc5)c(C)n4)c3cc1,5.17784
Cc1cc(c(n2)c(C3=O)nc4c2cc(c5ccc(OC)cc5OC)c(C)n4)c3cc1,5.91132
Cc1cc2ccc(nc3c4ccc(Cl)n3)n4c2cc1,-0.28992
Cc1cc2ccc(nc3c4cccn3)n4c2cc1,4.76109
Cc1ccc2c(c1)-c1nc3cc(Br)c(C)nc3nc1C2=O,5.61126
Cc1ccc2c(c1)-c1nc3cc(Br)cnc3nc1C2=O,5.19384333333333
Cc1ccc2c(c1)-c1nc3cc(C(F)(F)F)cnc3nc1C2=O,5.46123
Cc1ccc2c(c1)-c1nc3cc(Cl)cnc3nc1C2=O,5.124551732907294
Cc1ccc2c(c1)-c1nc3cc(F)cnc3nc1C2=O,4.685575079488755
Cc1ccc2c(c1)-c1nc3cccnc3nc1C2=O,4.41102
Cc1ccc2c(c1)C(=O)c1nc3nc(C)c(Br)cc3nc1-2,5.47824600247065
Cc1ccc2c(c1)C(=O)c1nc3ncc(Cl)cc3nc1-2,5.002624725750682
Cc1ccc2c(c1)C(=O)c1nc3ncccc3nc1-2,4.1397067549875
Cc1nc2nc3c(nc2cc1Br)-c1cc(Cl)ccc1C3=O,5.627263333333333
Cc1nc2nc3c(nc2cc1Br)-c1ccccc1C3=O,5.14012892421722
Clc1ccc2n3c4c(ccc3nc2n1)c(F)cc(Br)c4,5.54458
Clc1ccc2n3c4c(ccc3nc2n1)cc(C#N)cc4,4.54438
Clc1ccc2n3c4c(ccc3nc2n1)cc(C(O)=O)cc4,2.51064
Clc1ccc2n3c4c(ccc3nc2n1)cc([N+]([O-])=O)c(Br)c4,0.1435
Clc1ccc2n3c4c(ccc3nc2n1)cc([N+]([O-])=O)c(C)c4,5.16117
Clc1ccc2n3c4c(ccc3nc2n1)cc([N+]([O-])=O)cc4,4.76109
Fc1cc(Br)cc(c1cc2)n3c2nc4c3cccn4,5.02781
Fc1cc(N(C(C)C)C(C)C)cc2c1ccc(n3)n2c4c3nc(Cl)cc4,5.4779
Fc1cc(c2c(OC)cc(OC)cc2)cc3c1ccc(n4)n3c5c4nc(Cl)cc5,6.04468
Fc1cc(c2cc(N(C)C)ccc2)cc3c1ccc(n4)n3c5c4nc(Cl)cc5,5.44456
N#Cc1cc2ccc(nc3c4cccn3)n4c2cc1,3.96093
NC(=O)C1CCN(CC1)c1cc(F)c2ccc3nc4nc(Cl)ccc4n3c2c1,4.49437
O=C(O)c1cc2ccc(nc3c4cccn3)n4c2cc1,1.24372
O=C1c2cc(Br)ccc2-c2nc3cccnc3nc21,4.79443
O=C1c2cc(Cl)ccc2-c2nc3cccnc3nc21,4.54438
O=C1c2ccc(Br)cc2-c2nc3cc(F)cnc3nc21,5.07176342607021
O=C1c2ccc(Cl)cc2-c2nc3cc(F)cnc3nc21,4.91415768945694
O=C1c2ccc(Cl)cc2-c2nc3cccnc3nc21,4.61106
O=C1c2ccccc2-c2nc3cc(Br)cnc3nc21,4.872534581878656
O=C1c2ccccc2-c2nc3cc(C(F)(F)F)cnc3nc21,5.1445
O=C1c2ccccc2-c2nc3cc(Cl)cnc3nc21,4.86111
O=C1c2ccccc2-c2nc3cccnc3nc21,3.865966573929785
O=S1(CCN(CC1)c2cc(F)c3ccc4nc5c(cccn5)n4c3c2)=O,5.89465
OCc1cccc(c2cc(F)c3ccc4nc5c(cccn5)n4c3c2)c1,4.49437
[O-][N+](=O)c1ccc2c(ccc3nc4ncccc4n23)c1,4.39435
[O-][N+](c(c(N(c1ccccc1)c2ccccc2)c3)cc4c3n5c6cccnc6nc5cc4)=O,3.54418
[O-][N+](c(c(c1cc(CO)ccc1)c2)cc3c2n4c5cccnc5nc4cc3)=O,4.07762
[O-][N+](c(c(c1ccc(C(O)=O)cc1)c2)cc3c2n4c5cccnc5nc4cc3)=O,3.49417
[O-][N+](c(c(c1ccc(C(O)=O)cc1)cc23)cc2ccc4n3c(ccc(Cl)n5)c5n4)=O,3.49417
[O-][N+](c(c(c1ccc(OC)cc1OC)cc23)cc2ccc4n3c(ccc(Cl)n5)c5n4)=O,3.29413
c(cc1)nc2c1n(c3cc(Nc4ccccc4C#N)cc(F)c3cc5)c5n2,5.01114
c(cc1)nc2c1n(c3cc(c4c(OC)cc(OC)cc4)cc(F)c3cc5)c5n2,5.72795
c(cc1)nc2c1n(c3cc(c4cc(COC5=O)c5cc4)cc(F)c3cc6)c6n2,5.29453
c(cc1)nc2c1n(c3cc(c4cc(N(C)C)ccc4)cc(F)c3cc5)c5n2,6.21138
c(cc1)nc2c1n(c3cc(c4cc(OC)c(OC)cc4)cc(F)c3cc5)c5n2,5.21118
c(cc1)nc2c1n(c3cc(c4cc(OCCO5)c5cc4)cc(F)c3cc6)c6n2,5.59459
c(cc1)nc2c1n(c3cc(c4ccc(C(O)=O)cc4)cc(F)c3cc5)c5n2,2.91072
c(cc1)nc2c1n(c3cc(c4ccc(NC(C)=O)cc4)cc(F)c3cc5)c5n2,4.49437
c(cc1)nc2c1n(c3cc(c4ccc(NS(C)(=O)=O)cc4)cc(F)c3cc5)c5n2,4.51104
